user_id,group,day,session,block_id,abs_accuracy,abs_resptime,abs_focus,abs_anxiety,rela_0_accuracy,rela_0_resptime,rela_1_accuracy,rela_1_resptime,rela_focus,rela_anxiety
1.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
1.0,none,d1,formal,1,1.0,5.22597509,7.0,1.5,,,0.0,0.0,0.0,0.0
1.0,none,d1,formal,2,1.0,5.03255806,6.5,2.5,,,0.0,-0.03701071,-0.5,1.0
1.0,none,d1,formal,3,1.0,4.939283,6.5,2.5,,,0.0,-0.05485906,-0.5,1.0
1.0,none,d1,formal,4,1.0,5.60166781,6.0,3.0,,,0.0,0.0718895,-1.0,1.5
1.0,none,d1,formal,5,1.0,4.7285593,6.5,3.0,,,0.0,-0.09518143,-0.5,1.5
1.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
1.0,none,d2,formal,1,1.0,4.14978878,6.5,1.5,,,0.0,0.0,0.0,0.0
1.0,none,d2,formal,2,0.98275862,3.84574325,6.5,1.5,,,-0.01724138,-0.07326771,0.0,0.0
1.0,none,d2,formal,3,0.96551724,4.3236149,5.5,2.5,,,-0.03448276,0.04188794,-1.0,1.0
1.0,none,d2,formal,4,1.0,4.06763187,6.0,1.5,,,0.0,-0.01979785,-0.5,0.0
1.0,none,d2,formal,5,1.0,4.10299429,7.0,1.0,,,0.0,-0.01127635,0.5,-0.5
2.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
2.0,none,d1,formal,1,1.0,5.08197672,7.0,1.5,,,0.0,0.0,0.0,0.0
2.0,none,d1,formal,2,1.0,4.92918837,7.0,1.0,,,0.0,-0.03006475,0.0,-0.5
2.0,none,d1,formal,3,0.98305085,5.26666556,6.50847458,1.0,,,-0.01694915,0.03634193,-0.49152542,-0.5
2.0,none,d1,formal,4,1.0,4.98640074,6.0,1.0,,,0.0,-0.01880685,-1.0,-0.5
2.0,none,d1,formal,5,1.0,6.26935628,4.5,1.0,,,0.0,0.23364522,-2.5,-0.5
2.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
2.0,none,d2,formal,1,1.0,5.4892999,6.0,1.0,,,0.0,0.0,0.0,0.0
2.0,none,d2,formal,2,1.0,5.22772157,6.5,1.0,,,0.0,-0.0476524,0.5,0.0
2.0,none,d2,formal,3,1.0,4.69791046,6.0,1.0,,,0.0,-0.14416947,0.0,0.0
2.0,none,d2,formal,4,0.96666667,4.25982341,6.5,1.0,,,-0.03333333,-0.22397692,0.5,0.0
2.0,none,d2,formal,5,1.0,4.3379667,6.5,1.0,,,0.0,-0.20974136,0.5,0.0
35.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
35.0,none,d1,formal,1,0.98333333,4.81566798,7.0,1.0,,,0.0,0.0,0.0,0.0
35.0,none,d1,formal,2,0.98305085,4.33321658,7.0,4.05084746,,,-0.00028727,-0.10018369,0.0,3.05084746
35.0,none,d1,formal,3,0.98305085,5.13375491,7.0,1.0,,,-0.00028727,0.0660525,0.0,0.0
35.0,none,d1,formal,4,0.95,4.9043349,6.5,1.0,,,-0.0338983,0.01841217,-0.5,0.0
35.0,none,d1,formal,5,0.98333333,4.9052833,5.0,1.0,,,0.0,0.01860912,-2.0,0.0
35.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
35.0,none,d2,formal,1,0.95,3.82905239,5.5,4.0,,,0.0,0.0,0.0,0.0
35.0,none,d2,formal,2,0.93333333,4.22429773,5.5,3.5,,,-0.01754386,0.10322276,0.0,-0.5
35.0,none,d2,formal,3,0.98333333,4.02223946,5.5,3.5,,,0.03508772,0.05045297,0.0,-0.5
35.0,none,d2,formal,4,0.98275862,4.10855644,6.0,3.5,,,0.03448276,0.07299562,0.5,-0.5
35.0,none,d2,formal,5,0.95,3.82656246,5.0,3.5,,,0.0,-0.00065027,-0.5,-0.5
33.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
33.0,none,d1,formal,1,1.0,6.2899108,6.0,3.5,,,0.0,0.0,0.0,0.0
33.0,none,d1,formal,2,1.0,5.96105258,6.0,4.50847458,,,0.0,-0.05228345,0.0,1.00847458
33.0,none,d1,formal,3,0.98305085,7.16502514,6.0,5.49152542,,,-0.01694915,0.13912985,0.0,1.99152542
33.0,none,d1,formal,4,0.96666667,7.38846942,5.5,6.0,,,-0.03333333,0.17465409,-0.5,2.5
33.0,none,d1,formal,5,1.0,6.43869968,6.0,6.5,,,0.0,0.02365517,0.0,3.0
33.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
33.0,none,d2,formal,1,0.98333333,5.05016881,6.0,2.5,,,0.0,0.0,0.0,0.0
33.0,none,d2,formal,2,0.98333333,5.39165461,5.5,3.5,,,0.0,0.06761869,-0.5,1.0
33.0,none,d2,formal,3,1.0,4.66927135,6.0,4.0,,,0.01694916,-0.07542272,0.0,1.5
33.0,none,d2,formal,4,0.98333333,4.4984521,6.0,4.5,,,0.0,-0.10924718,0.0,2.0
33.0,none,d2,formal,5,1.0,4.19111022,6.5,5.0,,,0.01694916,-0.17010493,0.5,2.5
5.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
5.0,none,d1,formal,1,0.96610169,3.36234175,5.49152542,4.01694915,,,0.0,0.0,0.0,0.0
5.0,none,d1,formal,2,0.98333333,3.09281433,5.0,5.5,,,0.01783626,-0.08016063,-0.49152542,1.48305085
5.0,none,d1,formal,3,0.96610169,3.15557171,3.49152542,4.49152542,,,0.0,-0.06149584,-2.0,0.47457627
5.0,none,d1,formal,4,0.95,3.1521132,3.0,5.0,,,-0.01666666,-0.06252444,-2.49152542,0.98305085
5.0,none,d1,formal,5,0.93333333,3.08057628,2.0,4.5,,,-0.03391813,-0.08380037,-3.49152542,0.48305085
5.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
5.0,none,d2,formal,1,0.96666667,2.14483317,5.0,3.5,,,0.0,0.0,0.0,0.0
5.0,none,d2,formal,2,0.86666667,2.96182986,5.0,4.0,,,-0.10344828,0.38091386,0.0,0.5
5.0,none,d2,formal,3,0.93333333,2.67803021,3.5,3.0,,,-0.03448277,0.24859604,-1.5,-0.5
5.0,none,d2,formal,4,0.95,2.40217315,3.0,3.0,,,-0.01724138,0.11998135,-2.0,-0.5
5.0,none,d2,formal,5,0.9,2.18244313,2.5,3.5,,,-0.06896552,0.01753514,-2.5,0.0
6.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
6.0,none,d1,formal,1,0.98333333,6.59415736,6.0,1.0,,,0.0,0.0,0.0,0.0
6.0,none,d1,formal,2,1.0,7.25301706,5.0,1.0,,,0.01694916,0.09991568,-1.0,0.0
6.0,none,d1,formal,3,0.96666667,6.22114752,5.0,1.0,,,-0.01694915,-0.05656672,-1.0,0.0
6.0,none,d1,formal,4,0.96610169,7.1891905,4.0,1.0,,,-0.0175237,0.09023642,-2.0,0.0
6.0,none,d1,formal,5,0.94827586,7.20322171,3.0,1.0,,,-0.03565166,0.09236424,-3.0,0.0
6.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
6.0,none,d2,formal,1,0.93333333,5.13974708,7.0,1.0,,,0.0,0.0,0.0,0.0
6.0,none,d2,formal,2,0.96666667,5.3922652,6.0,1.0,,,0.03571429,0.04913046,-1.0,0.0
6.0,none,d2,formal,3,0.93333333,6.62477885,5.0,1.0,,,0.0,0.2889309,-2.0,0.0
6.0,none,d2,formal,4,0.98333333,5.43281895,5.0,1.0,,,0.05357143,0.05702068,-2.0,0.0
6.0,none,d2,formal,5,0.96666667,5.59407749,5.5,1.0,,,0.03571429,0.08839548,-1.5,0.0
14.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
14.0,none,d1,formal,1,0.91666667,8.38946326,7.0,4.0,,,0.0,0.0,0.0,0.0
14.0,none,d1,formal,2,0.91666667,8.44450797,7.0,5.0,,,0.0,0.00656117,0.0,1.0
14.0,none,d1,formal,3,0.96666667,7.25868155,7.0,3.5,,,0.05454545,-0.13478594,0.0,-0.5
14.0,none,d1,formal,4,0.88333333,7.69403406,7.0,3.5,,,-0.03636364,-0.08289317,0.0,-0.5
14.0,none,d1,formal,5,0.98333333,7.40570683,7.0,3.5,,,0.07272727,-0.11726095,0.0,-0.5
14.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
14.0,none,d2,formal,1,0.91666667,7.72379913,7.0,2.0,,,0.0,0.0,0.0,0.0
14.0,none,d2,formal,2,0.98305085,6.45092854,6.49152542,1.50847458,,,0.07241911,-0.16479851,-0.50847458,-0.49152542
14.0,none,d2,formal,3,0.9,6.54904477,7.0,1.0,,,-0.01818182,-0.15209541,0.0,-1.0
14.0,none,d2,formal,4,0.81666667,7.40811054,6.0,1.0,,,-0.10909091,-0.04087219,-1.0,-1.0
14.0,none,d2,formal,5,0.93333333,6.18551728,5.5,1.0,,,0.01818181,-0.1991613,-1.5,-1.0
15.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
15.0,none,d1,formal,1,0.91525424,6.01409812,7.0,2.0,,,0.0,0.0,0.0,0.0
15.0,none,d1,formal,2,0.91666667,5.60202304,7.0,2.0,,,0.00154321,-0.06851818,0.0,0.0
15.0,none,d1,formal,3,0.91666667,4.51069222,7.0,1.0,,,0.00154321,-0.24998027,0.0,-1.0
15.0,none,d1,formal,4,0.96666667,4.80730167,7.0,1.0,,,0.05617284,-0.20066125,0.0,-1.0
15.0,none,d1,formal,5,0.86440678,5.42285298,7.0,1.49152542,,,-0.05555556,-0.09830986,0.0,-0.50847458
15.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
15.0,none,d2,formal,1,0.96666667,4.73939879,7.0,1.0,,,0.0,0.0,0.0,0.0
15.0,none,d2,formal,2,0.96666667,4.52197692,7.0,1.0,,,0.0,-0.04587541,0.0,0.0
