index_id,user_id,group,b1d1,b1d2,b2d1,b2d2,b3d1,b3d2,b4d1,b4d2,b5d1,b5d2
0,1.0,none,0.0,0.0,0.0,-0.01724138,0.0,-0.03448276,0.0,0.0,0.0,0.0
1,2.0,none,0.0,0.0,0.0,0.0,-0.01694915,0.0,0.0,-0.03333333,0.0,0.0
2,3.0,rule,0.0,0.0,0.0,-0.01666667,0.01694916,-0.01666667,-0.0338983,-0.03389831,-0.0175237,-0.05
3,4.0,rule,0.0,0.0,-0.05,-0.01666667,0.0,0.01724138,-0.01694915,0.00028735,0.0,-0.03362069
4,5.0,none,0.0,0.0,0.01783626,-0.10344828,0.0,-0.03448277,-0.01666666,-0.01724138,-0.03391813,-0.06896552
5,6.0,none,0.0,0.0,0.01694916,0.03571429,-0.01694915,0.0,-0.0175237,0.05357143,-0.03565166,0.03571429
6,7.0,random,0.0,0.0,-0.03448277,0.08,-0.05172414,0.10000001,-0.13793104,0.08,-0.06896552,0.18
7,8.0,static,0.0,0.0,-0.05116958,0.05454546,0.01783626,0.0369697,-0.05116958,-0.01666666,0.01783626,0.05454546
8,10.0,rule,0.0,0.0,-0.05084746,0.0,0.01694916,0.01724137,-0.05084746,0.0,-0.01694915,-0.03448277
9,11.0,rule,0.0,0.0,-0.0338983,0.09259259,0.0,0.07407408,-0.03476013,0.09259259,0.0,0.03703703
10,13.0,static,0.0,0.0,-0.01666667,-0.03333333,0.0,-0.03333333,0.0,0.0,0.0,-0.01666667
11,14.0,none,0.0,0.0,0.0,0.07241911,0.05454545,-0.01818182,-0.03636364,-0.10909091,0.07272727,0.01818181
12,15.0,none,0.0,0.0,0.00154321,0.0,0.00154321,-0.0862069,0.05617284,-0.03448277,-0.05555556,-0.0862069
13,16.0,random,0.0,0.0,-0.03333333,0.01694916,-0.01666667,0.01694916,-0.01666667,-0.01694915,0.0,0.01694916
14,17.0,static,0.0,0.0,-0.01666667,0.01845239,-0.03362069,0.01845239,0.00028735,0.0360119,-0.08448276,0.05357143
15,18.0,none,0.0,0.0,0.03448276,0.01754386,0.01724137,0.05263158,0.01724137,0.03508772,0.01724137,0.01754386
16,19.0,random,0.0,0.0,0.01754386,0.03508772,0.03508772,0.01754386,-0.01873327,0.0,0.03508772,0.0
17,20.0,random,0.0,0.0,-0.01694915,0.0,-0.01694915,0.0,0.0,-0.01724138,-0.03476013,-0.03448277
18,21.0,none,0.0,0.0,-0.03389831,0.0,0.0,-0.0338983,-0.03333333,0.0,-0.08474576,0.0
19,22.0,static,0.0,0.0,-0.03333333,-0.01666667,-0.03333333,-0.05084746,-0.03333333,-0.01666667,-0.05084746,-0.06666667
20,23.0,static,0.0,0.0,-0.01666666,-0.01666667,0.01783626,0.01724138,0.01783626,-0.01666667,0.03508772,0.00028735
21,24.0,random,0.0,0.0,-0.01785714,-0.06923297,-0.03753027,-0.0338983,-0.03940887,-0.00028727,0.03571429,-0.05199655
22,25.0,rule,0.0,0.0,0.01694916,0.0,-0.05084746,0.01694916,0.0,0.01694916,0.01694916,-0.0338983
23,26.0,random,0.0,0.0,-0.03454545,-0.01811807,-0.07030303,0.03448276,0.0369697,-0.00058446,0.0369697,0.03448276
24,27.0,rule,0.0,0.0,-0.03333333,-0.0338983,-0.03333333,0.0,-0.05,0.0,-0.03333333,0.0
25,28.0,rule,0.0,0.0,-0.03333333,0.0,-0.01666667,0.0,0.0,0.0,0.0,0.0
26,29.0,rule,0.0,0.0,0.0,-0.05357143,-0.0338983,0.03571429,-0.05084746,0.03510896,0.0,-0.01785714
27,30.0,static,0.0,0.0,0.01694916,0.0,0.01694916,0.0,0.01694916,0.0,0.01694916,0.0
28,31.0,static,0.0,0.0,0.01724138,-0.05,-0.01666667,0.0,-0.05057472,-0.03333333,0.01724138,0.0
29,32.0,rule,0.0,0.0,-0.01724138,-0.01694915,-0.03686089,-0.05084746,0.03448276,-0.0338983,0.0,-0.0338983
30,33.0,none,0.0,0.0,0.0,0.0,-0.01694915,0.01694916,-0.03333333,0.0,0.0,0.01694916
31,34.0,static,0.0,0.0,0.05754718,-0.06666667,0.05754718,-0.03333333,0.02044026,-0.03333333,0.03899371,-0.01666667
32,35.0,none,0.0,0.0,-0.00028727,-0.01754386,-0.00028727,0.03508772,-0.0338983,0.03448276,0.0,0.0
33,36.0,rule,0.0,0.0,0.03479037,0.01600985,0.01694915,0.05357143,-0.03508772,-0.01937045,0.01754386,0.05357143
34,40.0,static,0.0,0.0,0.09259259,0.00181818,-0.03487655,-0.06848485,0.01851852,-0.03333333,-0.05308642,-0.01575758
35,41.0,random,0.0,0.0,0.03636364,-0.01694915,-0.01545454,-0.05084746,0.01909091,0.0,0.01909091,-0.05084746
