index_id,user_id,group,b1d1,b1d2,b2d1,b2d2,b3d1,b3d2,b4d1,b4d2,b5d1,b5d2
0,1.0,none,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,-0.5
1,2.0,none,0.0,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0
2,3.0,rule,0.0,0.0,0.0,-0.5,0.5,-0.5,1.0,-1.01694915,1.0,-1.0
3,4.0,rule,0.0,0.0,-0.49152542,0.01694915,0.00847458,-0.48305085,-1.49152542,-0.48305085,-1.49152542,-0.98305085
4,5.0,none,0.0,0.0,1.48305085,0.5,0.47457627,-0.5,0.98305085,-0.5,0.48305085,0.0
5,6.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.0,random,0.0,0.0,-0.5,0.0,-0.5,0.0,-1.5,0.0,-1.0,0.0
7,8.0,static,0.0,0.0,0.5,0.49152542,0.0,-0.00847458,0.5,-0.00847458,0.5,0.0
8,10.0,rule,0.0,0.0,0.5,1.0,0.0,1.5,0.0,2.5,0.0,2.0
9,11.0,rule,0.0,0.0,0.5,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0
10,13.0,static,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,-1.0,1.0
11,14.0,none,0.0,0.0,1.0,-0.49152542,-0.5,-1.0,-0.5,-1.0,-0.5,-1.0
12,15.0,none,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-0.50847458,0.0
13,16.0,random,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0
14,17.0,static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,18.0,none,0.0,0.0,1.0,1.5,1.0,2.0,1.5,2.5,2.0,4.0
16,19.0,random,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
17,20.0,random,0.0,0.0,-1.0,0.0,-1.5,0.0,-2.0,0.5,-2.5,1.0
18,21.0,none,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0,0.0,0.00847458,0.0
19,22.0,static,0.0,0.0,-1.0,-0.49152542,-0.5,-0.49152542,-1.0,-0.99152542,-1.0,-1.49152542
20,23.0,static,0.0,0.0,0.49152542,1.0,0.49152542,1.5,0.49152542,1.5,0.49152542,1.5
21,24.0,random,0.0,0.0,-0.5,1.51694915,-0.51694915,3.0,-2.5,2.97457627,-3.5,1.5
22,25.0,rule,0.0,0.0,0.0,-0.5,-1.5,-1.0,-2.5,-2.0,-2.5,-2.5
23,26.0,random,0.0,0.0,-1.5,0.49152542,-2.0,1.0,-1.0,-0.50847458,0.5,-0.5
24,27.0,rule,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.5,0.5,0.5
25,28.0,rule,0.0,0.0,0.5,2.0,1.5,2.5,2.0,2.5,3.0,3.5
26,29.0,rule,0.0,0.0,2.5,1.5,1.0,2.5,2.5,2.01694915,3.0,1.5
27,30.0,static,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0
28,31.0,static,0.0,0.0,-1.48305085,0.51694915,-1.98305085,0.51694915,-1.48305085,-0.98305085,-0.98305085,-0.48305085
29,32.0,rule,0.0,0.0,0.5,-0.5,0.5,-0.5,-1.0,-0.5,-0.5,-2.0
30,33.0,none,0.0,0.0,1.00847458,1.0,1.99152542,1.5,2.5,2.0,3.0,2.5
31,34.0,static,0.0,0.0,-0.5,-1.0,-1.0,-0.5,-1.0,-2.0,-2.0,-2.5
32,35.0,none,0.0,0.0,3.05084746,-0.5,0.0,-0.5,0.0,-0.5,0.0,-0.5
33,36.0,rule,0.0,0.0,2.49152542,-0.46551724,0.0,-2.0,-1.0,-3.5,-1.5,-1.0
34,40.0,static,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.5
35,41.0,random,0.0,0.0,-3.49122807,0.0,-3.99122807,0.0,-3.49122807,0.0,-4.49122807,0.0
