user_id,group,day,session,question_id,num_1,num_2,num_3,feedback,answer,accuracy,resptime,focus,focustime,anxiety,anxietytime,est_answer,est_answer_proba,est_resptime
2.0,none,d1,formal,9.0,51.0,36.0,7.0,0.0,0,1.0,5.8846197,7.0,3.552564,2.0,2.6287088,0,0.98363488,5.695819178193807
18.0,none,d2,formal,85.0,22.0,17.0,7.0,0.0,0,1.0,2.328667,6.0,3.421562,2.0,1.047957,0,0.97542753,3.2308994044215273
14.0,none,d1,formal,288.0,29.0,19.0,6.0,0.0,0,1.0,2.6572351,7.0,1.801889,3.0,1.6751068,0,0.98362228,3.493533605006143
18.0,none,d1,formal,251.0,34.0,28.0,3.0,0.0,1,1.0,5.237192,2.0,2.288686,6.0,1.733952,1,0.0869535,4.590652928001347
6.0,none,d1,formal,8.0,47.0,25.0,6.0,0.0,0,1.0,3.9928467,6.0,4.332367,1.0,4.296424,0,0.9772612,4.3913246832621615
5.0,none,d1,formal,100.0,96.0,69.0,6.0,0.0,0,1.0,4.123706,5.0,2.743753,6.0,1.0967519,0,0.99190253,4.763989852434762
21.0,none,d2,formal,259.0,34.0,27.0,3.0,0.0,0,1.0,4.3110085,3.0,5.937761,1.0,1.1225936,0,0.97628936,4.524284188280717
1.0,none,d2,formal,33.0,76.0,47.0,5.0,0.0,0,1.0,3.4162052,7.0,4.6965733,1.0,1.3314209,0,0.98839919,3.0362384873212047
6.0,none,d1,formal,256.0,65.0,52.0,5.0,0.0,0,1.0,6.71625,3.0,2.800215,1.0,1.0816541,0,0.97653765,4.024214182832088
1.0,none,d2,formal,48.0,44.0,14.0,3.0,0.0,1,1.0,3.438644,7.0,4.6965733,1.0,1.3314209,1,0.08824687,2.819766502722324
21.0,none,d2,formal,139.0,24.0,14.0,4.0,0.0,0,1.0,2.4360058,4.0,1.8231411,1.0,1.495662,0,0.97570553,3.241227488505211
1.0,none,d2,formal,79.0,39.0,18.0,5.0,0.0,0,1.0,3.3331728,7.0,1.5911818,1.0,1.995275,0,0.98959704,3.859923923676906
5.0,none,d1,formal,167.0,78.0,55.0,9.0,0.0,0,1.0,5.008897,3.0,2.136878,4.0,1.0918713,0,0.98210178,4.613655605588392
2.0,none,d1,formal,178.0,45.0,22.0,3.0,0.0,0,1.0,3.942598,6.0,4.837706,1.0,1.1328359,0,0.97542949,4.949062411332326
