user_id,group,day,session,question_id,num_1,num_2,num_3,feedback,answer,accuracy,resptime,focus,focustime,anxiety,anxietytime,est_answer,est_answer_proba,est_resptime
24.0,random,d2,formal,232.0,69.0,57.0,6.0,1.0,1,1.0,4.880555,4.0,7.990589,4.0,1.4105828,1,0.06947136,5.327137924647057
24.0,random,d2,formal,172.0,72.0,18.0,5.0,1.0,0,1.0,7.22929,5.0,1.6870239,5.0,1.418684,0,0.97444539,4.661271869409435
24.0,random,d2,formal,190.0,46.0,13.0,6.0,0.0,0,1.0,3.1330712,2.0,2.2185442,7.0,1.2677689,0,0.97836049,4.904244939568071
24.0,random,d1,formal,106.0,31.0,13.0,7.0,0.0,1,0.0,8.17873,4.0,1.9778061,5.0,1.82131,0,0.97950302,5.617323245607291
24.0,random,d2,formal,122.0,98.0,45.0,3.0,0.0,0,1.0,9.438783,3.0,2.2015018,6.0,3.2086782,0,0.96582782,5.362162856812504
24.0,random,d1,formal,129.0,94.0,73.0,6.0,1.0,0,1.0,3.9628098,4.0,2.0258079,7.0,1.3920252,0,0.96439706,4.406826075030672
24.0,random,d2,formal,59.0,66.0,45.0,3.0,0.0,1,1.0,4.278949,4.0,2.157814,3.0,1.73525,1,0.0806452,5.605493753399235
24.0,random,d1,formal,63.0,27.0,16.0,3.0,1.0,0,1.0,2.7858639,5.0,2.9479802,7.0,1.57253,0,0.96018322,4.321691510244178
24.0,random,d2,formal,278.0,87.0,47.0,4.0,1.0,1,1.0,3.363564,5.0,1.7623632,4.0,1.0665872,1,0.06569093,4.26217707832351
24.0,random,d1,formal,136.0,83.0,55.0,8.0,0.0,0,1.0,9.420023,4.0,2.0258079,7.0,1.3920252,0,0.93700005,5.414960060353285
24.0,random,d2,formal,244.0,65.0,13.0,3.0,0.0,0,1.0,4.023284,2.0,3.396644,4.0,1.2679648,0,0.96634469,6.22316166950896
24.0,random,d1,formal,134.0,98.0,23.0,5.0,1.0,1,1.0,3.774368,4.0,2.0258079,7.0,1.3920252,1,0.13635473,4.615742981220955
24.0,random,d1,formal,146.0,61.0,15.0,6.0,0.0,0,1.0,4.240529,4.0,2.0258079,7.0,1.3920252,0,0.93036459,6.2136187673010586
24.0,random,d1,formal,11.0,34.0,14.0,3.0,0.0,0,1.0,2.530568,5.0,3.733748,6.0,2.9572031,0,0.96124459,3.9444834360406684
24.0,random,d2,formal,157.0,97.0,49.0,3.0,1.0,1,1.0,6.912011,5.0,1.6870239,5.0,1.418684,1,0.12247712,4.757651025792742
24.0,random,d2,formal,62.0,84.0,41.0,8.0,1.0,0,1.0,2.941056,3.0,4.2918444,5.0,1.6815579,0,0.97387083,3.716648922728221
24.0,random,d2,formal,151.0,84.0,23.0,5.0,0.0,0,1.0,3.8137088,5.0,1.6870239,5.0,1.418684,0,0.99751307,5.998184089347342
24.0,random,d2,formal,238.0,37.0,26.0,6.0,1.0,0,1.0,3.115215,4.0,7.990589,4.0,1.4105828,0,0.98674007,4.13600601424581
24.0,random,d1,formal,223.0,24.0,16.0,6.0,1.0,1,0.0,4.981215,2.0,2.011383,3.0,2.435265,0,0.95854035,4.854063468755534
