user_id,group,day,session,question_id,num_1,num_2,num_3,feedback,answer,accuracy,resptime,focus,focustime,anxiety,anxietytime,est_answer,est_answer_proba,est_resptime
25.0,rule,d2,formal,160.0,78.0,53.0,9.0,1.0,0,1.0,3.9905832,4.0,2.235553,4.0,2.58494,0,0.97851963,3.958539635139309
25.0,rule,d2,formal,201.0,26.0,19.0,6.0,0.0,0,1.0,2.750006,4.0,2.2303612,3.0,1.3882129,0,0.98121072,4.2460617362739566
25.0,rule,d1,formal,23.0,77.0,35.0,7.0,0.0,1,1.0,4.3882713,6.0,5.9305983,4.0,3.738826,1,0.1106823,5.1229780245177725
25.0,rule,d1,formal,244.0,23.0,15.0,5.0,0.0,0,1.0,2.8292341,3.0,4.715674,3.0,5.522695,0,0.9858793,3.9046021876390116
25.0,rule,d2,formal,282.0,51.0,25.0,7.0,0.0,0,1.0,6.398741,3.0,2.7907977,2.0,1.8758962,0,0.98248962,6.00550136050842
25.0,rule,d1,formal,28.0,73.0,34.0,5.0,0.0,0,1.0,7.207135,6.0,5.9305983,4.0,3.738826,0,0.99148498,5.100058478657192
25.0,rule,d1,formal,75.0,87.0,32.0,4.0,0.0,0,1.0,5.004532,6.0,4.075141,6.0,3.825761,0,0.98373911,4.386244435201205
25.0,rule,d2,formal,185.0,49.0,21.0,4.0,1.0,1,1.0,5.771367,4.0,2.2303612,3.0,1.3882129,1,0.16670992,6.983565857997662
25.0,rule,d2,formal,112.0,69.0,18.0,3.0,1.0,1,1.0,4.905509,4.0,2.559817,4.0,3.949448,1,0.16617453,4.758143550600529
25.0,rule,d1,formal,152.0,71.0,61.0,9.0,0.0,0,1.0,2.944433,4.0,2.477609,4.0,4.730964,0,0.97877492,3.5480015602644306
25.0,rule,d2,formal,11.0,61.0,23.0,3.0,0.0,0,1.0,8.161482,5.0,6.748765,5.0,1.461657,0,0.99392049,6.533889208420736
25.0,rule,d2,formal,106.0,41.0,12.0,4.0,1.0,0,1.0,2.8501236,4.0,2.559817,4.0,3.949448,0,0.99525582,5.531684148174213
25.0,rule,d2,formal,101.0,66.0,35.0,6.0,1.0,0,1.0,3.252179,4.0,2.559817,4.0,3.949448,0,0.97923003,5.078236198815276
25.0,rule,d1,formal,58.0,97.0,39.0,5.0,1.0,0,1.0,3.2476158,6.0,3.9910233,7.0,1.5724158,0,0.98003617,5.179135453540484
25.0,rule,d1,formal,7.0,58.0,27.0,8.0,0.0,0,1.0,5.1277447,6.0,5.9305983,4.0,3.738826,0,0.97186283,5.598972218986952
25.0,rule,d2,formal,278.0,35.0,16.0,5.0,0.0,0,1.0,1.8603573,3.0,2.7907977,2.0,1.8758962,0,0.98903411,5.295911711299626
25.0,rule,d1,formal,93.0,82.0,64.0,9.0,0.0,1,1.0,9.244977,6.0,3.1097653,5.0,1.6759009,1,0.08851018,5.665026545460016
25.0,rule,d1,formal,247.0,84.0,24.0,4.0,0.0,1,1.0,7.173131,3.0,4.715674,3.0,5.522695,1,0.11196578,4.785070403110011
25.0,rule,d1,formal,168.0,27.0,17.0,5.0,0.0,1,1.0,2.839526,4.0,2.477609,4.0,4.730964,1,0.09417308,3.7669309640700126
25.0,rule,d2,formal,18.0,35.0,17.0,6.0,0.0,1,1.0,4.496912,5.0,6.748765,5.0,1.461657,1,0.08875279,5.101439598202923
25.0,rule,d2,formal,120.0,86.0,64.0,4.0,0.0,0,1.0,3.429531,4.0,2.559817,4.0,3.949448,0,0.99207427,5.470108167118937
25.0,rule,d2,formal,141.0,98.0,28.0,7.0,0.0,1,1.0,2.687246,4.0,2.4705708,4.0,1.410155,1,0.17547569,4.927104596324077
25.0,rule,d1,formal,160.0,47.0,33.0,8.0,0.0,0,1.0,4.3674803,4.0,2.477609,4.0,4.730964,0,0.97831041,4.619357856350463
25.0,rule,d2,formal,261.0,49.0,21.0,3.0,0.0,0,1.0,6.0350933,5.0,3.3353298,3.0,1.4445777,0,0.97417946,5.965296546047615
25.0,rule,d2,formal,86.0,88.0,25.0,8.0,1.0,0,1.0,4.371853,5.0,2.724236,5.0,1.6293843,0,0.98439293,5.8732313433854015
25.0,rule,d2,formal,236.0,74.0,54.0,4.0,1.0,1,1.0,3.537915,4.0,2.564844,3.0,1.890655,1,0.0721068,4.252409564149366
25.0,rule,d2,formal,189.0,61.0,56.0,7.0,1.0,0,1.0,3.307103,4.0,2.2303612,3.0,1.3882129,0,0.98323436,4.023023823389106
25.0,rule,d2,formal,198.0,33.0,25.0,8.0,0.0,1,1.0,2.6868343,4.0,2.2303612,3.0,1.3882129,1,0.07900093,4.50524860375672
25.0,rule,d2,formal,146.0,58.0,13.0,9.0,1.0,1,1.0,5.523965,4.0,2.4705708,4.0,1.410155,1,0.0686689,5.256770811705449
25.0,rule,d2,formal,291.0,54.0,21.0,5.0,0.0,0,1.0,2.094502,3.0,2.7907977,2.0,1.8758962,0,0.97372589,4.403910195877423
25.0,rule,d2,formal,127.0,37.0,15.0,7.0,0.0,0,1.0,4.375224,4.0,2.4705708,4.0,1.410155,0,0.9898032,4.43048188835973
25.0,rule,d2,formal,248.0,26.0,14.0,8.0,1.0,0,1.0,3.65498,5.0,3.3353298,3.0,1.4445777,0,0.98008217,4.263214114334324
25.0,rule,d1,formal,98.0,57.0,17.0,7.0,1.0,0,1.0,7.607809,6.0,3.1097653,5.0,1.6759009,0,0.98245326,4.138490103602406
25.0,rule,d2,formal,238.0,39.0,24.0,5.0,0.0,1,1.0,3.397784,4.0,2.564844,3.0,1.890655,1,0.092702,4.321153291797213
25.0,rule,d1,formal,184.0,22.0,13.0,9.0,0.0,1,1.0,2.568472,4.0,2.4909132,3.0,6.316524,1,0.09999168,4.108606839506184
25.0,rule,d1,formal,2.0,22.0,11.0,4.0,0.0,0,1.0,2.0959842,6.0,5.9305983,4.0,3.738826,0,0.98051822,3.815887237177133
25.0,rule,d2,formal,162.0,98.0,54.0,7.0,1.0,0,1.0,4.809442,4.0,2.235553,4.0,2.58494,0,0.99539337,5.1701729878795595
25.0,rule,d2,formal,273.0,92.0,72.0,4.0,0.0,1,1.0,2.4204721,3.0,2.7907977,2.0,1.8758962,1,0.07635291,3.9312483204471613
25.0,rule,d2,formal,183.0,84.0,13.0,4.0,1.0,0,1.0,7.316584,4.0,2.2303612,3.0,1.3882129,0,0.97912177,6.883556268682795
25.0,rule,d1,formal,1.0,71.0,24.0,9.0,0.0,0,1.0,7.86478,6.0,5.9305983,4.0,3.738826,0,0.98338725,6.250795038269694
25.0,rule,d1,formal,34.0,47.0,19.0,7.0,1.0,1,1.0,8.334862,6.0,3.9910233,7.0,1.5724158,1,0.10801357,6.494963234580837
25.0,rule,d1,formal,173.0,51.0,44.0,4.0,0.0,0,1.0,5.96835,4.0,2.477609,4.0,4.730964,0,0.97931491,4.436341393500737
25.0,rule,d2,formal,6.0,31.0,27.0,4.0,0.0,1,1.0,2.3968031,5.0,6.748765,5.0,1.461657,1,0.08507772,4.594386517834344
25.0,rule,d2,formal,119.0,75.0,41.0,7.0,0.0,0,1.0,7.070665,4.0,2.559817,4.0,3.949448,0,0.98866646,5.771940601197947
25.0,rule,d2,formal,224.0,93.0,87.0,4.0,0.0,0,1.0,5.210988,4.0,2.564844,3.0,1.890655,0,0.98346682,4.831846671813981
25.0,rule,d2,formal,105.0,81.0,68.0,4.0,1.0,0,1.0,4.602178,4.0,2.559817,4.0,3.949448,0,0.97842206,3.83184249341397
25.0,rule,d1,formal,234.0,36.0,23.0,6.0,0.0,0,1.0,3.138257,4.0,3.255619,3.0,3.377342,0,0.98813433,3.9701101662041927
25.0,rule,d1,formal,86.0,31.0,15.0,3.0,0.0,0,1.0,4.636604,6.0,4.075141,6.0,3.825761,0,0.97822813,5.062438159091985
25.0,rule,d1,formal,186.0,49.0,34.0,7.0,0.0,0,1.0,4.734727,4.0,2.4909132,3.0,6.316524,0,0.97922926,4.287402349552986
25.0,rule,d1,formal,104.0,85.0,29.0,3.0,1.0,0,1.0,8.480294,6.0,3.1097653,5.0,1.6759009,0,0.98369447,6.613739382945867
25.0,rule,d1,formal,53.0,88.0,29.0,7.0,0.0,0,1.0,6.093256,6.0,3.9910233,7.0,1.5724158,0,0.98854634,6.358712428526973
25.0,rule,d2,formal,65.0,41.0,38.0,4.0,0.0,0,1.0,2.6076338,5.0,2.724236,5.0,1.6293843,0,0.97792614,4.038370830611453
25.0,rule,d1,formal,49.0,53.0,49.0,3.0,1.0,0,1.0,3.844505,6.0,3.9910233,7.0,1.5724158,0,0.97453793,4.227113113332907
25.0,rule,d2,formal,34.0,61.0,54.0,7.0,0.0,1,1.0,6.132482,6.0,2.692579,5.0,5.314541,1,0.0885469,4.208241674620737
25.0,rule,d2,formal,275.0,33.0,13.0,8.0,0.0,0,1.0,2.219253,3.0,2.7907977,2.0,1.8758962,0,0.98387097,4.026353996892528
25.0,rule,d2,formal,58.0,38.0,18.0,9.0,0.0,0,1.0,2.162535,6.0,2.692579,5.0,5.314541,0,0.98138792,4.6331001863726815
25.0,rule,d1,formal,57.0,98.0,21.0,9.0,1.0,0,1.0,7.4575443,6.0,3.9910233,7.0,1.5724158,0,0.98097608,5.371259387550539
25.0,rule,d1,formal,151.0,84.0,64.0,5.0,0.0,1,1.0,4.153081,4.0,2.477609,4.0,4.730964,1,0.07648192,4.137374102364587
25.0,rule,d2,formal,208.0,57.0,35.0,6.0,0.0,0,1.0,3.311821,4.0,2.2303612,3.0,1.3882129,0,0.97833029,5.291208257051417
25.0,rule,d2,formal,218.0,66.0,45.0,3.0,0.0,1,1.0,3.764954,4.0,2.564844,3.0,1.890655,1,0.09214451,5.347531382030313
25.0,rule,d1,formal,284.0,88.0,63.0,9.0,0.0,0,1.0,4.120268,3.0,3.317976,3.0,2.146708,0,0.97969713,4.044415518058253
25.0,rule,d1,formal,62.0,92.0,73.0,8.0,0.0,0,1.0,3.784135,6.0,4.075141,6.0,3.825761,0,0.98839884,4.49493249970118
25.0,rule,d1,formal,84.0,27.0,15.0,7.0,1.0,0,1.0,6.0076456,6.0,4.075141,6.0,3.825761,0,0.97719137,3.656600998352477
25.0,rule,d2,formal,157.0,91.0,42.0,4.0,1.0,0,1.0,4.465166,4.0,2.235553,4.0,2.58494,0,0.99739553,5.820702712622163
25.0,rule,d2,formal,35.0,95.0,35.0,4.0,0.0,1,1.0,6.8414593,6.0,2.692579,5.0,5.314541,1,0.09844472,4.881736880081217
25.0,rule,d2,formal,211.0,65.0,19.0,7.0,0.0,0,1.0,6.0906973,4.0,2.564844,3.0,1.890655,0,0.98093967,4.407447491520485
25.0,rule,d2,formal,285.0,79.0,63.0,9.0,0.0,0,1.0,3.3562908,3.0,2.7907977,2.0,1.8758962,0,0.97257091,5.317026706508609
25.0,rule,d2,formal,264.0,23.0,17.0,7.0,0.0,0,1.0,2.638145,5.0,3.3353298,3.0,1.4445777,0,0.97930286,3.960866575821502
25.0,rule,d1,formal,212.0,53.0,44.0,5.0,0.0,0,1.0,5.8381557,4.0,3.255619,3.0,3.377342,0,0.98097171,4.992600039110328
25.0,rule,d1,formal,91.0,45.0,11.0,9.0,0.0,0,1.0,5.1540775,6.0,3.1097653,5.0,1.6759009,0,0.98169426,5.895301265021046
25.0,rule,d2,formal,166.0,74.0,13.0,7.0,0.0,0,1.0,3.663119,4.0,2.235553,4.0,2.58494,0,0.99527876,6.120388488233727
25.0,rule,d1,formal,94.0,45.0,22.0,9.0,0.0,0,1.0,4.778737,6.0,3.1097653,5.0,1.6759009,0,0.98336065,5.1083972927951375
25.0,rule,d2,formal,154.0,87.0,12.0,9.0,0.0,0,1.0,3.891647,4.0,2.235553,4.0,2.58494,0,0.98633476,5.5341215522341844
25.0,rule,d2,formal,95.0,29.0,12.0,5.0,0.0,0,1.0,3.707016,4.0,2.559817,4.0,3.949448,0,0.98340249,4.776058869891022
25.0,rule,d1,formal,14.0,55.0,33.0,7.0,0.0,0,1.0,2.711368,6.0,5.9305983,4.0,3.738826,0,0.98784576,4.591480322300123
25.0,rule,d2,formal,207.0,51.0,46.0,4.0,0.0,0,1.0,3.3283472,4.0,2.2303612,3.0,1.3882129,0,0.98453611,3.8816269943034634
25.0,rule,d2,formal,63.0,33.0,19.0,5.0,0.0,0,1.0,3.541371,5.0,2.724236,5.0,1.6293843,0,0.97675122,4.488234776024035
25.0,rule,d2,formal,178.0,57.0,24.0,3.0,1.0,1,1.0,4.794009,4.0,2.235553,4.0,2.58494,1,0.10065026,4.445667007029804
25.0,rule,d2,formal,1.0,28.0,16.0,6.0,0.0,1,1.0,3.486069,5.0,6.748765,5.0,1.461657,1,0.09865116,5.597009490884672
25.0,rule,d1,formal,70.0,51.0,12.0,5.0,1.0,0,1.0,2.287181,6.0,4.075141,6.0,3.825761,0,0.98972407,4.772583516923111
25.0,rule,d2,formal,31.0,34.0,22.0,8.0,1.0,0,1.0,3.7297432,6.0,2.692579,5.0,5.314541,0,0.97956322,4.938286791423271
25.0,rule,d2,formal,155.0,97.0,85.0,6.0,0.0,1,1.0,4.384387,4.0,2.235553,4.0,2.58494,1,0.15406046,4.331805437071265
25.0,rule,d2,formal,293.0,97.0,79.0,4.0,0.0,0,1.0,7.775943,3.0,2.7907977,2.0,1.8758962,0,0.98263777,5.371190458987409
25.0,rule,d2,formal,75.0,31.0,14.0,8.0,0.0,0,1.0,5.1013794,5.0,2.724236,5.0,1.6293843,0,0.9919906,4.737429913529161
25.0,rule,d1,formal,166.0,88.0,41.0,5.0,0.0,0,1.0,2.156894,4.0,2.477609,4.0,4.730964,0,0.97802444,7.188965816984159
25.0,rule,d2,formal,241.0,96.0,78.0,8.0,1.0,0,1.0,4.331008,5.0,3.3353298,3.0,1.4445777,0,0.98789667,5.660696863043458
25.0,rule,d2,formal,32.0,32.0,25.0,7.0,0.0,1,1.0,3.7389581,6.0,2.692579,5.0,5.314541,1,0.08717044,4.099327182416072
25.0,rule,d2,formal,223.0,58.0,11.0,3.0,0.0,0,1.0,3.8994951,4.0,2.564844,3.0,1.890655,0,0.98870561,5.878719480139465
25.0,rule,d2,formal,266.0,58.0,37.0,8.0,0.0,0,1.0,3.457276,5.0,3.3353298,3.0,1.4445777,0,0.98714234,4.664556027714628
25.0,rule,d1,formal,82.0,24.0,17.0,9.0,1.0,0,1.0,3.4265418,6.0,4.075141,6.0,3.825761,0,0.98041157,4.029577313935828
25.0,rule,d1,formal,178.0,37.0,29.0,7.0,0.0,0,1.0,6.1674833,4.0,2.477609,4.0,4.730964,0,0.98149745,4.667581250807626
25.0,rule,d2,formal,56.0,64.0,44.0,8.0,0.0,0,1.0,2.879911,6.0,2.692579,5.0,5.314541,0,0.98253966,4.139440216060072
25.0,rule,d2,formal,10.0,35.0,22.0,9.0,0.0,0,1.0,3.703841,5.0,6.748765,5.0,1.461657,0,0.97722877,4.321330105708269
25.0,rule,d2,formal,176.0,92.0,78.0,8.0,1.0,0,1.0,5.662738,4.0,2.235553,4.0,2.58494,0,0.97642659,4.644786520912376
25.0,rule,d2,formal,252.0,48.0,31.0,8.0,0.0,0,1.0,3.411068,5.0,3.3353298,3.0,1.4445777,0,0.99576413,4.532512717774777
25.0,rule,d1,formal,145.0,47.0,36.0,9.0,0.0,0,1.0,4.868737,5.0,3.0730782,4.0,1.7689002,0,0.9816632,5.01369743797507
25.0,rule,d1,formal,8.0,27.0,14.0,6.0,0.0,0,1.0,4.978702,6.0,5.9305983,4.0,3.738826,0,0.98924533,4.292900166417156
25.0,rule,d2,formal,118.0,49.0,27.0,8.0,0.0,0,1.0,4.823233,4.0,2.559817,4.0,3.949448,0,0.98162271,4.851406238705016
25.0,rule,d1,formal,164.0,73.0,52.0,6.0,0.0,0,1.0,4.1932592,4.0,2.477609,4.0,4.730964,0,0.98201414,5.421311440790055
25.0,rule,d1,formal,17.0,39.0,27.0,8.0,0.0,0,1.0,4.4176426,6.0,5.9305983,4.0,3.738826,0,0.97636283,5.8837944652567336
25.0,rule,d2,formal,289.0,37.0,19.0,5.0,0.0,0,1.0,3.094219,3.0,2.7907977,2.0,1.8758962,0,0.97572397,5.4951161229200345
25.0,rule,d2,formal,256.0,59.0,17.0,8.0,0.0,0,1.0,8.108325,5.0,3.3353298,3.0,1.4445777,0,0.97872451,4.62239620702563
25.0,rule,d2,formal,299.0,95.0,24.0,3.0,0.0,0,1.0,5.459568,3.0,2.7907977,2.0,1.8758962,0,0.98272816,4.820411897461788
25.0,rule,d1,formal,133.0,37.0,18.0,4.0,0.0,0,1.0,6.2685947,5.0,3.0730782,4.0,1.7689002,0,0.98523562,5.893224637337487
25.0,rule,d2,formal,233.0,28.0,11.0,8.0,1.0,0,1.0,2.856764,4.0,2.564844,3.0,1.890655,0,0.99537802,4.405630758244663
25.0,rule,d1,formal,238.0,67.0,29.0,7.0,0.0,0,1.0,6.2872763,4.0,3.255619,3.0,3.377342,0,0.98610994,5.572810096140006
